date,Open,High,Low,Close,Adj. Close,Volume
2020-12-28 04:01:00,662.0,665.06,662.0,664.64,664.64,2741.0
2020-12-28 04:02:00,665.0,665.0,665.0,665.0,665.0,867.0
2020-12-28 04:03:00,664.11,664.8,664.11,664.8,664.8,537.0
2020-12-28 04:05:00,664.2,664.2,664.04,664.04,664.04,1051.0
2020-12-28 04:07:00,664.0,664.39,664.0,664.39,664.39,1186.0
2020-12-28 04:08:00,664.38,664.38,664.38,664.38,664.38,470.0
2020-12-28 04:09:00,664.24,664.24,663.0,663.0,663.0,3413.0
2020-12-28 04:11:00,663.1,663.1,662.97,662.97,662.97,1423.0
2020-12-28 04:13:00,662.0,662.0,662.0,662.0,662.0,1008.0
2020-12-28 04:14:00,662.51,662.51,662.51,662.51,662.51,1051.0
2020-12-28 04:19:00,662.97,662.97,662.94,662.97,662.97,821.0
2020-12-28 04:20:00,664.0,664.0,664.0,664.0,664.0,913.0
2020-12-28 04:24:00,663.5,663.5,663.5,663.5,663.5,257.0
2020-12-28 04:27:00,663.4,663.4,663.4,663.4,663.4,222.0
2020-12-28 04:28:00,663.62,663.62,663.62,663.62,663.62,207.0
2020-12-28 04:33:00,663.55,663.55,663.51,663.51,663.51,422.0
2020-12-28 04:34:00,663.99,663.99,663.99,663.99,663.99,914.0
2020-12-28 04:37:00,663.53,663.53,663.53,663.53,663.53,280.0
2020-12-28 04:39:00,663.6,663.84,663.6,663.84,663.84,597.0
2020-12-28 04:41:00,663.7,663.72,663.7,663.72,663.72,319.0
2020-12-28 04:42:00,663.75,663.75,663.75,663.75,663.75,213.0
2020-12-28 04:43:00,663.55,663.55,663.55,663.55,663.55,325.0
2020-12-28 04:44:00,663.58,663.58,663.5,663.5,663.5,1537.0
2020-12-28 04:47:00,663.2,663.2,663.1,663.1,663.1,1062.0
2020-12-28 04:50:00,663.01,663.01,662.8,662.8,662.8,629.0
2020-12-28 04:55:00,663.7,663.8,663.7,663.8,663.8,747.0
2020-12-28 04:56:00,663.8,664.1,663.8,664.1,664.1,1104.0
2020-12-28 04:59:00,664.01,664.01,664.01,664.01,664.01,156.0
2020-12-28 05:04:00,664.45,664.45,664.45,664.45,664.45,166.0
2020-12-28 05:05:00,664.8,664.8,664.8,664.8,664.8,344.0
2020-12-28 05:06:00,664.4,664.8,664.4,664.8,664.8,771.0
2020-12-28 05:08:00,664.88,665.0,664.88,665.0,665.0,994.0
2020-12-28 05:10:00,664.75,664.75,664.75,664.75,664.75,557.0
2020-12-28 05:11:00,664.5,664.5,664.2,664.2,664.2,445.0
2020-12-28 05:24:00,663.14,663.14,663.14,663.14,663.14,195.0
2020-12-28 05:27:00,663.72,663.72,663.72,663.72,663.72,309.0
2020-12-28 05:29:00,663.41,663.41,663.41,663.41,663.41,1182.0
2020-12-28 05:31:00,663.5,663.5,663.5,663.5,663.5,378.0
2020-12-28 05:33:00,663.05,663.05,663.0,663.0,663.0,742.0
2020-12-28 05:35:00,662.3,662.3,662.3,662.3,662.3,501.0
2020-12-28 05:36:00,662.64,662.64,662.64,662.64,662.64,306.0
2020-12-28 05:41:00,662.36,662.36,662.36,662.36,662.36,876.0
2020-12-28 05:44:00,662.51,662.51,662.51,662.51,662.51,376.0
2020-12-28 05:54:00,662.9,662.9,662.9,662.9,662.9,122.0
2020-12-28 05:55:00,662.99,662.99,662.99,662.99,662.99,565.0
2020-12-28 06:03:00,663.89,663.89,663.89,663.89,663.89,421.0
2020-12-28 06:06:00,664.39,664.52,664.39,664.52,664.52,1029.0
2020-12-28 06:13:00,665.0,665.77,665.0,665.77,665.77,1564.0
2020-12-28 06:14:00,665.99,666.0,665.99,666.0,666.0,1418.0
2020-12-28 06:15:00,666.0,666.38,666.0,666.0,666.0,1894.0
2020-12-28 06:16:00,666.0,666.0,666.0,666.0,666.0,543.0
2020-12-28 06:18:00,665.86,665.86,665.0,665.0,665.0,2400.0
2020-12-28 06:19:00,665.03,665.03,665.0,665.0,665.0,504.0
2020-12-28 06:20:00,666.0,666.0,666.0,666.0,666.0,957.0
2020-12-28 06:22:00,666.58,666.58,666.58,666.58,666.58,216.0
2020-12-28 06:24:00,666.68,666.91,666.68,666.91,666.91,502.0
2020-12-28 06:25:00,667.5,667.5,667.48,667.48,667.48,1713.0
2020-12-28 06:29:00,667.49,667.49,667.49,667.49,667.49,342.0
2020-12-28 06:33:00,666.01,666.01,666.01,666.01,666.01,801.0
2020-12-28 06:38:00,666.01,666.01,666.01,666.01,666.01,208.0
2020-12-28 06:39:00,666.0,666.0,666.0,666.0,666.0,185.0
2020-12-28 06:42:00,666.04,666.04,666.04,666.04,666.04,214.0
2020-12-28 06:43:00,666.23,666.23,666.23,666.23,666.23,287.0
2020-12-28 06:45:00,666.0,666.0,666.0,666.0,666.0,1024.0
2020-12-28 06:55:00,666.13,666.13,666.12,666.12,666.12,824.0
2020-12-28 06:57:00,666.26,666.26,665.99,665.99,665.99,937.0
2020-12-28 07:01:00,666.0,666.4,664.0,664.96,664.96,23041.0
2020-12-28 07:02:00,665.02,665.02,664.29,664.97,664.97,5327.0
2020-12-28 07:03:00,664.5,665.0,664.5,664.54,664.54,6573.0
2020-12-28 07:04:00,664.81,664.81,663.88,663.88,663.88,9266.0
2020-12-28 07:05:00,663.41,663.41,663.0,663.03,663.03,3989.0
