date,Open,High,Low,Close,Adj. Close,Volume
2020-12-28 06:01:00,125.9,126.0,125.9,126.0,126.0,610.0
2020-12-28 06:24:00,126.0,126.0,126.0,126.0,126.0,400.0
2020-12-28 07:01:00,125.9,125.9,125.2,125.35,125.35,2593.0
2020-12-28 08:05:00,125.3999,125.3999,125.3999,125.3999,125.3999,120.0
2020-12-28 08:13:00,125.35,125.35,125.35,125.35,125.35,209.0
2020-12-28 08:18:00,125.4,125.4,125.4,125.4,125.4,180.0
2020-12-28 08:20:00,125.25,125.25,125.2402,125.2402,125.2402,774.0
2020-12-28 08:30:00,125.4,125.4,125.4,125.4,125.4,300.0
2020-12-28 09:05:00,125.44,125.44,125.44,125.44,125.44,301.0
2020-12-28 09:08:00,125.2401,125.2401,125.2401,125.2401,125.2401,108.0
2020-12-28 09:21:00,125.33,125.44,125.33,125.44,125.44,385.0
2020-12-28 09:29:00,125.24,125.24,125.2,125.2,125.2,450.0
2020-12-28 09:30:00,125.0,125.0,125.0,125.0,125.0,1355.0
2020-12-28 09:31:00,125.1,125.12,124.9,124.994,124.994,193878.0
2020-12-28 09:32:00,124.9335,125.04,124.86,124.91,124.91,8924.0
2020-12-28 09:33:00,124.877,124.93,124.71,124.93,124.93,10510.0
2020-12-28 09:34:00,124.98,125.2,124.88,125.2,125.2,10823.0
2020-12-28 09:35:00,125.1096,125.1386,124.9419,124.9419,124.9419,11681.0
2020-12-28 09:36:00,124.86,124.87,124.66,124.8,124.8,10755.0
2020-12-28 09:37:00,124.77,124.96,124.77,124.84,124.84,6210.0
2020-12-28 09:38:00,124.81,124.83,124.7113,124.76,124.76,11586.0
2020-12-28 09:39:00,124.79,124.95,124.79,124.95,124.95,3481.0
2020-12-28 09:40:00,124.89,124.89,124.79,124.79,124.79,4074.0
2020-12-28 09:41:00,124.84,124.84,124.62,124.635,124.635,10420.0
2020-12-28 09:42:00,124.61,124.853,124.61,124.845,124.845,8282.0
